Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue
261695,12-01-2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261696,12-01-2021,1,December,2021,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261697,12-02-2021,2,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261698,12-02-2021,2,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,$420.00,$769.00,$349.00,$420.00,$769.00
261699,12-03-2021,3,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261700,12-03-2021,3,December,2021,24,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261701,12-03-2021,3,December,2021,37,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261702,12-04-2021,4,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261703,12-05-2021,5,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261704,12-05-2021,5,December,2021,42,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261705,12-05-2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261706,12-05-2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261707,12-06-2021,6,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00"
261708,12-06-2021,6,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261709,12-06-2021,6,December,2021,36,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261710,12-06-2021,6,December,2021,47,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261711,12-07-2021,7,December,2021,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261712,12-07-2021,7,December,2021,38,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261713,12-08-2021,8,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00"
261714,12-08-2021,8,December,2021,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261715,12-08-2021,8,December,2021,39,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261716,12-08-2021,8,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1,$295.00,$540.00,$245.00,$295.00,$540.00
261717,12-09-2021,9,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2,"$1,898.00","$3,375.00","$2,954.00","$3,796.00","$6,750.00"
261718,12-09-2021,9,December,2021,41,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261719,12-10-2021,10,December,2021,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261720,12-10-2021,10,December,2021,40,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261721,12-10-2021,10,December,2021,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261722,12-10-2021,10,December,2021,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1,$295.00,$540.00,$245.00,$295.00,$540.00
261723,12-10-2021,10,December,2021,34,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,"$1,912.00","$3,400.00","$1,488.00","$1,912.00","$3,400.00"
261724,12-10-2021,10,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261725,12-11-2021,11,December,2021,24,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261726,12-11-2021,11,December,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",2,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261727,12-11-2021,11,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261728,12-11-2021,11,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,$420.00,$769.00,$349.00,$420.00,$769.00
261729,12-11-2021,11,December,2021,38,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261730,12-12-2021,12,December,2021,36,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261731,12-12-2021,12,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261732,12-12-2021,12,December,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261733,12-12-2021,12,December,2021,35,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261734,12-12-2021,12,December,2021,38,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261735,12/13/2021,13,December,2021,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261736,12/13/2021,13,December,2021,40,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,$308.00,$565.00,$257.00,$308.00,$565.00
261737,12/13/2021,13,December,2021,44,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261738,12/13/2021,13,December,2021,49,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261739,12/14/2021,14,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261740,12/14/2021,14,December,2021,32,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261741,12/14/2021,14,December,2021,32,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,$420.00,$769.00,$349.00,$420.00,$769.00
261742,12/15/2021,15,December,2021,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261743,12/16/2021,16,December,2021,33,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261744,12/16/2021,16,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
